Time,Temperature (°C),Heat Flow (Normalized)(W/g),Label
30.025,119.557,-0.616675,Control
30.0267,119.563,-0.616677,Control
30.0283,119.567,-0.616686,Control
30.03,119.572,-0.616689,Control
30.0317,119.577,-0.616689,Control
30.0333,119.581,-0.616689,Control
30.035,119.587,-0.616688,Control
30.0367,119.591,-0.616692,Control
30.0383,119.596,-0.616691,Control
30.04,119.602,-0.616689,Control
30.0417,119.607,-0.616691,Control
30.0433,119.611,-0.616693,Control
30.045,119.616,-0.616696,Control
30.0467,119.621,-0.616696,Control
30.0483,119.626,-0.616699,Control
30.05,119.63,-0.616703,Control
30.0517,119.636,-0.616707,Control
30.0533,119.64,-0.616708,Control
30.055,119.646,-0.616708,Control
30.0567,119.649,-0.616707,Control
30.0583,119.654,-0.616705,Control
30.06,119.658,-0.616699,Control
30.0617,119.663,-0.616685,Control
30.0633,119.667,-0.616662,Control
30.065,119.671,-0.616629,Control
30.0667,119.675,-0.616545,Control
30.0683,119.68,-0.616343,Control
30.07,119.683,-0.61596,Control
30.0717,119.688,-0.615352,Control
30.0733,119.691,-0.61428,Control
30.075,119.695,-0.61239,Control
30.0767,119.699,-0.609857,Control
30.0783,119.701,-0.606463,Control
30.08,119.705,-0.60206,Control
30.0817,119.707,-0.597234,Control
30.0833,119.71,-0.59106,Control
30.085,119.713,-0.583766,Control
30.0867,119.715,-0.576396,Control
30.0883,119.717,-0.569998,Control
30.09,119.719,-0.56474,Control
30.0917,119.721,-0.558983,Control
30.0933,119.723,-0.552749,Control
30.095,119.725,-0.546671,Control
30.0967,119.726,-0.53968,Control
30.0983,119.728,-0.532478,Control
30.1,119.729,-0.52543,Control
30.1017,119.73,-0.517377,Control
30.1033,119.73,-0.509114,Control
30.105,119.731,-0.500655,Control
30.1067,119.733,-0.491976,Control
30.1083,119.732,-0.483712,Control
30.11,119.732,-0.473412,Control
30.1117,119.732,-0.463895,Control
30.1133,119.732,-0.453965,Control
30.115,119.731,-0.444507,Control
30.1167,119.731,-0.433814,Control
30.1183,119.729,-0.423107,Control
30.12,119.728,-0.413007,Control
30.1217,119.725,-0.402169,Control
30.1233,119.725,-0.391503,Control
30.125,119.723,-0.380651,Control
30.1267,119.722,-0.369942,Control
30.1283,119.721,-0.358765,Control
30.13,119.718,-0.348538,Control
30.1317,119.716,-0.337715,Control
30.1333,119.715,-0.326693,Control
30.135,119.711,-0.315717,Control
30.1367,119.71,-0.304806,Control
30.1383,119.706,-0.294513,Control
30.14,119.704,-0.283903,Control
30.1417,119.701,-0.273956,Control
30.1433,119.697,-0.263751,Control
30.145,119.694,-0.252222,Control
30.1467,119.692,-0.241718,Control
30.1483,119.688,-0.231642,Control
30.15,119.685,-0.221356,Control
30.1517,119.681,-0.210336,Control
30.1533,119.678,-0.201169,Control
30.155,119.673,-0.191612,Control
30.1567,119.669,-0.182491,Control
30.1583,119.665,-0.173949,Control
30.16,119.662,-0.165452,Control
30.1617,119.656,-0.156962,Control
30.1633,119.653,-0.148679,Control
30.165,119.648,-0.140113,Control
30.1667,119.645,-0.131369,Control
30.1683,119.64,-0.123933,Control
30.17,119.636,-0.115695,Control
30.1717,119.631,-0.108548,Control
30.1733,119.626,-0.101758,Control
30.175,119.621,-0.0951358,Control
30.1767,119.617,-0.0879953,Control
30.1783,119.611,-0.0806282,Control
30.18,119.606,-0.073527,Control
30.1817,119.6,-0.0664662,Control
30.1833,119.596,-0.0592473,Control
30.185,119.591,-0.0523841,Control
30.1867,119.586,-0.0466085,Control
30.1883,119.58,-0.0412698,Control
30.19,119.575,-0.0354447,Control
30.1917,119.57,-0.0314625,Control
30.1933,119.564,-0.02738,Control
30.195,119.558,-0.0219659,Control
30.1967,119.553,-0.0165808,Control
30.1983,119.548,-0.0115135,Control
30.2,119.542,-0.00675301,Control
30.2017,119.536,-0.00149802,Control
30.2033,119.531,0.00314708,Control
30.205,119.524,0.00858092,Control
30.2067,119.52,0.0135272,Control
30.2083,119.514,0.018756,Control
30.21,119.508,0.0227804,Control
30.2117,119.502,0.0264791,Control
30.2133,119.496,0.0293843,Control
30.215,119.49,0.0341375,Control
30.2167,119.484,0.0388827,Control
30.2183,119.479,0.0427659,Control
30.22,119.472,0.0466582,Control
30.2217,119.466,0.0495558,Control
30.2233,119.459,0.0536408,Control
30.225,119.454,0.0583186,Control
30.2267,119.447,0.0610702,Control
30.2283,119.441,0.0647718,Control
30.23,119.434,0.068229,Control
30.2317,119.43,0.0709313,Control
30.2333,119.422,0.0741671,Control
30.235,119.415,0.0779249,Control
30.2367,119.409,0.0816483,Control
30.2383,119.403,0.0860948,Control
30.24,119.397,0.0902668,Control
30.2417,119.39,0.0937685,Control
30.2433,119.384,0.0977044,Control
30.245,119.378,0.101173,Control
30.2467,119.371,0.104413,Control
30.2483,119.364,0.108956,Control
30.25,119.357,0.112134,Control
30.2517,119.351,0.115143,Control
30.2533,119.345,0.117054,Control
30.255,119.338,0.120123,Control
30.2567,119.33,0.12348,Control
30.2583,119.324,0.127453,Control
30.26,119.318,0.130464,Control
30.2617,119.311,0.133163,Control
30.2633,119.303,0.135347,Control
30.265,119.297,0.137418,Control
30.2667,119.29,0.140957,Control
30.2683,119.282,0.143661,Control
30.27,119.275,0.147125,Control
30.2717,119.268,0.14987,Control
30.2733,119.262,0.151646,Control
30.275,119.255,0.154673,Control
30.2767,119.246,0.156276,Control
30.2783,119.241,0.158722,Control
30.28,119.233,0.160553,Control
30.2817,119.226,0.162455,Control
30.2833,119.22,0.164386,Control
30.285,119.212,0.167563,Control
30.2867,119.204,0.170604,Control
30.2883,119.198,0.173946,Control
30.29,119.191,0.17689,Control
30.2917,119.182,0.178392,Control
30.2933,119.176,0.181286,Control
30.295,119.168,0.183414,Control
30.2967,119.162,0.185416,Control
30.2983,119.154,0.187499,Control
30.3,119.146,0.189274,Control
30.3017,119.14,0.190003,Control
30.3033,119.132,0.191228,Control
30.305,119.124,0.193372,Control
30.3067,119.116,0.195513,Control
30.3083,119.108,0.198132,Control
30.31,119.101,0.19937,Control
30.3117,119.093,0.201239,Control
30.3133,119.087,0.203477,Control
30.315,119.079,0.20696,Control
30.3167,119.071,0.208653,Control
30.3183,119.064,0.210824,Control
30.32,119.056,0.212643,Control
30.3217,119.049,0.212709,Control
30.3233,119.041,0.213799,Control
30.325,119.034,0.215904,Control
30.3267,119.027,0.217259,Control
30.3283,119.02,0.218088,Control
30.33,119.011,0.21895,Control
30.3317,119.003,0.219557,Control
30.3333,118.995,0.223335,Control
30.335,118.988,0.225049,Control
30.3367,118.981,0.227088,Control
30.3383,118.971,0.227825,Control
30.34,118.965,0.229594,Control
30.3417,118.956,0.229921,Control
30.3433,118.95,0.231801,Control
30.345,118.942,0.231889,Control
30.3467,118.934,0.232579,Control
30.3483,118.927,0.232693,Control
30.35,118.919,0.233772,Control
30.3517,118.912,0.235816,Control
30.3533,118.904,0.237425,Control
30.355,118.896,0.239179,Control
30.3567,118.887,0.240546,Control
30.3583,118.88,0.241564,Control
30.36,118.871,0.242406,Control
30.3617,118.866,0.243058,Control
30.3633,118.856,0.243704,Control
30.365,118.849,0.244753,Control
30.3667,118.84,0.245426,Control
30.3683,118.833,0.24676,Control
30.37,118.825,0.247633,Control
30.3717,118.817,0.248277,Control
30.3733,118.808,0.249142,Control
30.375,118.801,0.249244,Control
30.3767,118.793,0.248919,Control
30.3783,118.785,0.248823,Control
30.38,118.777,0.249107,Control
30.3817,118.769,0.249293,Control
30.3833,118.761,0.250166,Control
30.385,118.753,0.251274,Control
30.3867,118.746,0.252642,Control
30.3883,118.737,0.254107,Control
30.39,118.73,0.255656,Control
30.3917,118.722,0.257203,Control
30.3933,118.715,0.258419,Control
30.395,118.706,0.258818,Control
30.3967,118.698,0.259661,Control
30.3983,118.69,0.260532,Control
30.4,118.682,0.261135,Control
30.4017,118.674,0.26161,Control
30.4033,118.667,0.262248,Control
30.405,118.658,0.262695,Control
30.4067,118.65,0.262768,Control
30.4083,118.643,0.262969,Control
30.41,118.634,0.263233,Control
30.4117,118.627,0.263797,Control
30.4133,118.619,0.264254,Control
30.415,118.611,0.264762,Control
30.4167,118.601,0.26529,Control
30.4183,118.594,0.26589,Control
30.42,118.587,0.266578,Control
30.4217,118.579,0.267623,Control
30.4233,118.57,0.268615,Control
30.425,118.562,0.269232,Control
30.4267,118.554,0.269616,Control
30.4283,118.546,0.269806,Control
30.43,118.539,0.270208,Control
30.4317,118.531,0.270624,Control
30.4333,118.522,0.270904,Control
30.435,118.513,0.271323,Control
30.4367,118.506,0.271509,Control
30.4383,118.498,0.271847,Control
30.44,118.489,0.272257,Control
30.4417,118.48,0.272845,Control
30.4433,118.473,0.273212,Control
30.445,118.465,0.273561,Control
30.4467,118.458,0.27376,Control
30.4483,118.45,0.273912,Control
30.45,118.442,0.273986,Control
30.4517,118.433,0.274157,Control
30.4533,118.426,0.274362,Control
30.455,118.417,0.274636,Control
30.4567,118.408,0.275159,Control
30.4583,118.4,0.275912,Control
30.46,118.393,0.276845,Control
30.4617,118.384,0.27753,Control
30.4633,118.376,0.278044,Control
30.465,118.368,0.27832,Control
30.4667,118.36,0.278548,Control
30.4683,118.352,0.278602,Control
30.47,118.344,0.278628,Control
30.4717,118.336,0.278646,Control
30.4733,118.328,0.278638,Control
30.475,118.32,0.278673,Control
30.4767,118.312,0.278768,Control
30.4783,118.303,0.278892,Control
30.48,118.295,0.279132,Control
30.4817,118.287,0.279449,Control
30.4833,118.28,0.279856,Control
30.485,118.271,0.280357,Control
30.4867,118.263,0.280846,Control
30.4883,118.255,0.281158,Control
30.49,118.245,0.281475,Control
30.4917,118.238,0.281696,Control
30.4933,118.229,0.281867,Control
30.495,118.221,0.281953,Control
30.4967,118.214,0.28199,Control
30.4983,118.205,0.282015,Control
30.5,118.198,0.282041,Control
30.5017,118.189,0.282111,Control
30.5033,118.181,0.282326,Control
30.505,118.173,0.28261,Control
30.5067,118.165,0.282873,Control
30.5083,118.157,0.283203,Control
30.51,118.148,0.283672,Control
30.5117,118.139,0.284015,Control
30.5133,118.132,0.284225,Control
30.515,118.125,0.284415,Control
30.5167,118.116,0.284576,Control
30.5183,118.107,0.284664,Control
30.52,118.099,0.284803,Control
30.5217,118.091,0.284978,Control
30.5233,118.082,0.285197,Control
30.525,118.074,0.285477,Control
30.5267,118.066,0.285874,Control
30.5283,118.058,0.286278,Control
30.53,118.051,0.286556,Control
30.5317,118.041,0.286733,Control
30.5333,118.033,0.286919,Control
30.535,118.024,0.287117,Control
30.5367,118.017,0.287265,Control
30.5383,118.01,0.287374,Control
30.54,118,0.287473,Control
30.5417,117.992,0.287546,Control
30.5433,117.984,0.287646,Control
30.545,117.977,0.287782,Control
30.5467,117.969,0.287908,Control
30.5483,117.959,0.28801,Control
30.55,117.951,0.288106,Control
30.5517,117.943,0.288181,Control
30.5533,117.935,0.288257,Control
30.555,117.926,0.288311,Control
30.5567,117.919,0.288366,Control
30.5583,117.909,0.288401,Control
30.56,117.901,0.288433,Control
30.5617,117.894,0.288464,Control
30.5633,117.887,0.288702,Control
30.565,117.878,0.288731,Control
30.5667,117.869,0.28877,Control
30.5683,117.861,0.288822,Control
30.57,117.853,0.288869,Control
30.5717,117.844,0.288901,Control
30.5733,117.836,0.288938,Control
30.575,117.827,0.288986,Control
30.5767,117.82,0.289033,Control
30.5783,117.812,0.289078,Control
30.58,117.803,0.289129,Control
30.5817,117.795,0.289186,Control
30.5833,117.787,0.289236,Control
30.585,117.778,0.289302,Control
30.5867,117.77,0.289363,Control
30.5883,117.763,0.289408,Control
30.59,117.754,0.289453,Control
30.5917,117.745,0.2895,Control
30.5933,117.737,0.289545,Control
30.595,117.728,0.289587,Control
30.5967,117.722,0.289716,Control
30.5983,117.713,0.289841,Control
