Time,Temperature (°C),Heat Flow (Normalized)(W/g),Label
0,29.932,-0.42411,Control
0.0017,29.933,-0.423552,Control
0.0033,29.933,-0.423144,Control
0.005,29.932,-0.422891,Control
0.0067,29.933,-0.422813,Control
0.0083,29.934,-0.422862,Control
0.01,29.934,-0.42315,Control
0.0117,29.934,-0.423443,Control
0.0133,29.933,-0.423931,Control
0.015,29.934,-0.424409,Control
0.0167,29.933,-0.424804,Control
0.0183,29.934,-0.42527,Control
0.02,29.934,-0.425617,Control
0.0217,29.935,-0.426074,Control
0.0233,29.934,-0.426473,Control
0.025,29.933,-0.426928,Control
0.0267,29.934,-0.427414,Control
0.0283,29.934,-0.427946,Control
0.03,29.934,-0.428505,Control
0.0317,29.934,-0.429001,Control
0.0333,29.933,-0.429367,Control
0.035,29.933,-0.429639,Control
0.0367,29.933,-0.429879,Control
0.0383,29.933,-0.430188,Control
0.04,29.935,-0.430381,Control
0.0417,29.934,-0.430516,Control
0.0433,29.934,-0.430646,Control
0.045,29.935,-0.430786,Control
0.0467,29.934,-0.430891,Control
0.0483,29.933,-0.431042,Control
0.05,29.934,-0.431255,Control
0.0517,29.934,-0.431478,Control
0.0533,29.935,-0.431682,Control
0.055,29.934,-0.431867,Control
0.0567,29.934,-0.431995,Control
0.0583,29.934,-0.432117,Control
0.06,29.935,-0.432239,Control
0.0617,29.935,-0.432373,Control
0.0633,29.934,-0.432502,Control
0.065,29.934,-0.432696,Control
0.0667,29.935,-0.43291,Control
0.0683,29.936,-0.433209,Control
0.07,29.936,-0.433514,Control
0.0717,29.936,-0.43385,Control
0.0733,29.937,-0.434299,Control
0.075,29.938,-0.43473,Control
0.0767,29.938,-0.43541,Control
0.0783,29.939,-0.43638,Control
0.08,29.94,-0.437775,Control
0.0817,29.941,-0.439485,Control
0.0833,29.941,-0.441308,Control
0.085,29.942,-0.443201,Control
0.0867,29.944,-0.445536,Control
0.0883,29.945,-0.448096,Control
0.09,29.946,-0.450748,Control
0.0917,29.947,-0.45309,Control
0.0933,29.949,-0.455791,Control
0.095,29.95,-0.459231,Control
0.0967,29.951,-0.462894,Control
0.0983,29.952,-0.465843,Control
0.1,29.953,-0.468911,Control
0.1017,29.957,-0.47242,Control
0.1033,29.957,-0.47642,Control
0.105,29.96,-0.479708,Control
0.1067,29.961,-0.482912,Control
0.1083,29.962,-0.486424,Control
0.11,29.964,-0.489623,Control
0.1117,29.966,-0.492571,Control
0.1133,29.969,-0.496325,Control
0.115,29.971,-0.500115,Control
0.1167,29.973,-0.503035,Control
0.1183,29.975,-0.505788,Control
0.12,29.978,-0.509096,Control
0.1217,29.98,-0.512914,Control
0.1233,29.982,-0.516417,Control
0.125,29.985,-0.519652,Control
0.1267,29.988,-0.522942,Control
0.1283,29.99,-0.527281,Control
0.13,29.993,-0.530416,Control
0.1317,29.996,-0.533882,Control
0.1333,29.998,-0.537308,Control
0.135,30.001,-0.540184,Control
0.1367,30.004,-0.544488,Control
0.1383,30.006,-0.548334,Control
0.14,30.01,-0.552172,Control
0.1417,30.014,-0.555413,Control
0.1433,30.016,-0.558347,Control
0.145,30.02,-0.561122,Control
0.1467,30.023,-0.564872,Control
0.1483,30.026,-0.56818,Control
0.15,30.028,-0.570782,Control
0.1517,30.032,-0.573643,Control
0.1533,30.035,-0.576765,Control
0.155,30.038,-0.579185,Control
0.1567,30.042,-0.582302,Control
0.1583,30.045,-0.585538,Control
0.16,30.048,-0.588938,Control
0.1617,30.052,-0.592248,Control
0.1633,30.056,-0.595416,Control
0.165,30.06,-0.59895,Control
0.1667,30.064,-0.602169,Control
0.1683,30.066,-0.604764,Control
0.17,30.07,-0.607252,Control
0.1717,30.075,-0.610422,Control
0.1733,30.077,-0.612686,Control
0.175,30.081,-0.61469,Control
