5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-4.19011,-13.27405033,-14.73737,-99.01809986,-109.6781077,-3.52705,-21.23785372,-3.51056,-98.42990002,-1.34613,-116.8649983,-1.7876342,-102.5944307,-107.7715996,-1.212013927
-5.47556,-8.717009952,-5.579,-88.94139333,-111.1232946,-3.20445,-27.85794824,-0.3562,-104.3133855,0.65016,-111.6631052,-11.7991454,-113.2528474,-111.4077899,-118.0727993
-112.97345,-9.274842046,-5.49078,-102.9792383,-106.8738077,10.86663,-22.39724031,-2.92643,-117.8056346,-85.35956,-108.8908128,-95.52559178,-107.6380942,-111.9408388,-102.1727561
-112.61733,1.026664277,-86.99919,1.812783094,-109.5293636,-93.88775,-21.51893441,3.04258,-112.3491915,-2.58218,-108.4571107,-100.7418199,-115.8027612,-102.8365161,-117.2155645
-127.2718,-0.565453432,-86.44867,-0.769895968,-117.4718058,-88.13845,-15.65071791,0.10883,-112.2870676,1.12319,-116.175752,-104.2443543,-102.7623712,-0.330772581,-111.2075427
-100.96373,-1.366684167,-92.96412,0.992929521,-113.2573203,-103.84035,-19.62629026,-4.09469,-113.4610788,-11.71917,-121.5141637,-89.07259171,-92.50384573,-1.100138492,-93.73717514
-104.01651,-5.773787819,-82.58183,0.326451967,-107.5411897,-109.5343,-16.24239663,-2.43621,-111.9920957,-3.7248,-121.0370714,-93.96496814,-99.24709013,-2.674384557,-115.4503562
-93.52825,-90.19697083,-101.92369,-2.412453114,-111.8449268,-108.13143,-18.17630565,-5.37706,-105.231728,-3.5982,-112.8167294,-109.1205233,-108.1798752,-1.940197491,-123.4696573
-107.79075,-0.841501419,-93.26096,3.48179266,-97.19807344,-106.1871,-14.97699449,-5.88889,-110.6421008,-7.50794,-116.3428889,-107.6454922,-97.20900305,-0.442977393,-112.8543073
0.32908,3.535252564,-106.45103,-99.48410695,1.822611023,-104.66609,-25.17730535,-4.80034,-113.6639196,-6.34242,-105.6853941,-92.31103522,-95.20624669,-2.373518607,-128.8132427
-9.43591,-94.98592853,-0.11891,-94.88708298,-5.417754604,-99.70204,-18.93599027,-0.2263,-113.2020983,12.73315,-103.4044772,-100.694384,-108.263911,-99.47078448,-128.4610619
-7.0796,-82.2174608,-6.47231,-84.09036617,-1.312816286,-103.77476,-22.30906454,-7.15034,-107.6453771,-2.41952,-103.9446052,-4.327666396,-95.59371206,-107.8869742,-116.8061549
2.64519,-85.67883182,-10.57709,-88.23941143,-5.317193236,-116.94178,-16.54501297,-3.0659,-102.1680157,-10.37851,-100.8338531,-89.01935226,-4.517681867,-104.480434,-118.9085141
1.12958,-84.23124192,-87.7515,-88.01816013,-1.348681576,-112.07976,-21.59726956,-87.77177,-108.9106688,-0.53894,-117.432719,-103.9525482,-0.225709345,-113.6273464,-110.4218014
1.37392,-101.2372052,-89.47438,-93.82682816,1.652286077,-105.59004,-18.05197641,-94.04327,-108.3187675,-3.66914,-104.759797,-95.02888896,-6.268212607,-93.49161857,-116.0199009
-111.64926,-88.62939931,-94.54946,-93.17703295,-4.413885314,-92.0647,-98.5104115,-91.71523,-107.1633304,0.45073,-103.415438,-6.872857401,-8.076166113,-111.1781131,-106.5351041
-112.39746,-101.5679585,-5.6478,-95.79553129,-2.2506443,-98.1613,0.645223641,-88.13502,-106.8579413,-1.64685,-103.5466272,-7.801938577,-1.126248628,-103.9483665,-111.2369515
-112.07319,-101.3965328,-4.34683,-92.05668261,-1.187627125,-94.89849,-1.427369711,-87.90912,-107.3450475,-3.41461,0.833739375,-4.867343694,-6.585103453,-112.0759877,-102.4757313
-107.8252,-112.3019186,-1.1986,-100.5778578,1.822033571,2.84197,-13.65493248,-101.18447,-101.8872241,-6.45521,-2.012615764,-6.62940527,3.230654034,-108.3420172,-112.0603598
-5.20467,-98.65436051,-6.16853,-97.57055462,4.110501899,1.06023,-100.9040537,-85.07973,-109.7953112,-0.50509,-3.681137441,-9.347486557,-98.62127305,-7.551868282,-0.622025285
-3.18372,-95.70659733,-93.50347,-97.09985064,-0.518670592,-5.92586,-104.1347825,-100.95738,-98.04683883,-2.17343,-6.382689561,-7.578589824,-86.9584246,-9.412762611,-0.495338529
0.68874,-111.5016563,-1.30131,-97.43768102,1.958984776,6.16088,-99.19142092,-91.13767,-90.21947615,-2.81374,-9.180062933,-4.319464222,-104.6844378,-3.084972762,-0.101478422
0.55217,-116.9188627,-9.14848,-92.38797885,0.659477077,-7.4409,-99.10293322,-81.9661,-105.7747724,-0.25787,-93.52204707,-5.438272255,-97.43643807,-4.165187027,1.537612641
-112.35324,-111.3903893,-14.71309,-96.7402605,-0.931333956,-7.13933,-117.6678354,-101.28582,-109.5564637,-3.35578,-100.3723471,-96.56936792,-103.7487424,-99.47156301,-0.580619365
-0.28872,-97.32419605,1.17776,-102.5103864,4.510469781,-106.03651,-89.85889393,-91.76928,-103.3343419,1.02179,-99.45662789,-93.86791497,-104.3174299,-106.0829186,-0.360794762
1.75467,-87.90127948,-105.03796,-105.197234,5.137155183,-103.67326,-87.38109037,-98.51368,-90.90587623,-3.47659,-3.359537878,-93.43678792,-106.3390806,-121.2920215,-99.97692645
-114.71522,-99.88425363,-91.5992,-104.8613398,2.887384153,-107.70395,-105.5491754,-86.14011,-104.5556909,1.03623,-9.667096563,-87.00034192,-100.887978,-105.7600495,-103.3248274
