Time,5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1.473,1.569,1.481,1.446,1.579,1.522,1.067,1.405,1.309,1.647,0.938,1.67,1.206,1.585,1.419
0.2,1.481,1.766,1.373,1.569,1.298,1.454,1.494,1.623,1.363,1.429,1.51,1.846,1.616,1.868,1.423
0.3,1.275,1.937,1.404,1.516,1.502,1.288,1.244,1.61,2.125,1.581,1.352,1.729,2.03,1.79,1.69
0.4,1.205,2.225,1.268,1.623,1.606,1.349,1.408,1.736,2.281,1.957,1.365,1.82,2.163,1.476,1.613
0.5,1.397,2.033,1.133,1.61,1.439,1.434,1.421,2.136,1.395,2.07,1.476,1.837,2.133,1.943,1.64
0.6,1.286,1.963,1.292,1.503,1.777,1.711,1.47,2.19,1.517,1.894,1.809,1.671,1.693,1.674,1.811
0.7,1.355,2.298,1.792,1.749,1.551,1.389,1.569,1.994,1.931,1.567,1.514,1.475,1.686,1.359,2.003
0.8,1.607,1.569,1.725,1.215,1.798,1.589,1.553,1.371,1.248,1.698,0.972,1.575,1.36,1.769,1.646
0.9,1.367,1.693,1.433,1.285,1.639,1.789,1.18,1.313,1.243,1.732,1.6,1.717,1.304,1.555,1.935
1,1.39,1.592,1.254,1.332,1.821,1.645,1.384,1.335,1.519,1.67,2.006,1.725,1.541,1.488,2.235
1.1,1.472,1.934,1.356,1.176,1.544,1.369,1.409,1.285,2.052,1.768,1.923,1.501,1.998,1.216,1.456
1.2,1.548,1.781,1.635,1.426,1.744,1.454,1.2,1.315,1.515,1.66,1.661,1.355,2.009,1.356,1.843
1.3,1.647,1.98,1.731,1.691,1.645,1.934,1.116,1.372,1.651,1.499,2.024,1.433,1.997,1.54,1.467
1.4,1.183,1.801,1.368,1.226,1.803,1.597,1.333,1.36,1.683,1.971,1.877,1.519,2.401,1.54,1.509
1.5,1.157,1.795,1.716,1.177,2,1.777,1.275,1.565,1.558,2.189,1.544,1.206,2.721,1.621,1.339
1.6,1.489,1.83,1.747,1.533,2.12,1.91,1.613,1.931,1.716,2.287,1.513,1.155,2.247,1.925,1.626
1.7,1.295,1.482,1.498,1.428,2.079,1.577,1.266,2.073,1.627,2.289,1.434,1.336,2.2,1.656,1.025
1.8,1.073,1.558,1.643,1.492,2.031,2.061,1.399,2.022,1.448,2.044,1.707,1.507,2.563,1.636,1.325
1.9,1.159,2.04,1.893,1.483,2.143,1.577,1.342,2.205,1.346,1.578,1.663,1.338,2.87,1.942,1.29
2,1.241,1.919,1.545,1.396,2.242,1.51,1.568,2.656,1.672,1.499,1.679,2.046,1.849,1.73,1.216
2.1,1.892,2.475,1.581,1.197,2.031,1.557,1.486,2.764,1.726,1.502,1.878,1.434,1.935,1.948,1.394
2.2,1.779,2.094,1.644,1.573,2.063,1.48,1.595,2.454,1.323,1.657,1.87,1.26,1.916,2.071,1.39
2.3,2.254,1.872,1.724,1.759,1.996,1.532,1.583,2.562,1.626,1.496,1.971,1.603,1.824,1.554,1.28
2.4,1.79,1.85,1.808,1.73,1.939,1.287,1.785,2.543,1.479,1.487,1.626,1.406,1.995,1.393,1.369
2.5,1.869,2.116,1.893,1.657,2.073,1.314,1.571,2.398,1.371,1.894,1.734,1.494,2.001,1.262,1.615
2.6,1.57,2.138,1.841,1.617,2.447,1.199,1.704,2.715,1.498,1.678,1.94,1.324,1.632,1.473,1.214
2.7,2.203,1.798,2.012,1.397,2.006,1.488,1.218,2.432,2.161,1.74,1.494,2.145,1.956,1.722,1.975
2.8,1.968,2.127,2.351,1.531,1.913,1.391,2.048,2.234,2.293,1.686,1.645,1.79,1.684,1.85,1.371
2.9,2.138,1.753,1.933,1.103,1.735,1.952,1.755,2.006,1.961,1.603,1.56,1.675,1.404,1.835,1.488
3,2.321,2.126,2.179,1.451,1.574,1.417,1.796,2.185,2.257,1.561,1.646,1.397,1.583,1.712,1.586
3.1,2.04,2.069,2.042,1.453,2.006,1.483,1.647,2.297,1.702,1.929,1.984,1.442,1.657,2.015,1.989
3.2,1.781,2.048,2.279,1.523,2.02,1.584,1.745,2.292,1.781,2.289,1.878,1.485,1.796,1.48,1.268
3.3,1.236,2.07,1.934,1.449,1.607,1.72,1.773,2.403,1.455,2.077,1.589,1.487,1.56,1.576,1.502
3.4,1.417,2.042,2.129,1.302,1.662,1.456,2.026,2.253,1.469,2.368,1.533,1.641,1.952,2.164,1.067
3.5,1.148,2.036,1.728,1.445,2.25,1.423,1.666,2.7,1.678,2.056,1.638,1.609,2.026,1.995,1.506
3.6,1.213,2.278,1.545,1.444,2.291,1.323,1.603,2.871,1.711,1.971,1.371,1.707,1.531,1.675,1.327
3.7,1.61,2.651,1.531,1.638,2.505,1.525,1.746,2.653,1.822,1.673,1.589,1.675,1.843,1.57,1.419
