Round,Name,Method,dentity,TM-score,MMGBSA,RMSD_var,Solubility
Round 2,PDN11,ProDESIGN-LE,0.679,0.93,-65.7,0.098,0.938
Round 2,PDN12,ProDESIGN-LE,0.679,0.939,-51.2,0.241,0.921
Round 2,PDN13,ProDESIGN-LE,0.736,0.952,-83.3,0.074,0.871
Round 2,PDN14,ProDESIGN-LE,0.774,0.963,-75.4,0.731,0.926
Round 2,PDN15,ProDESIGN-LE,0.925,0.959,-66,0.1,0.945
Round 2,PDN16,ProDESIGN-LE,0.962,0.96,-69.9,0.167,0.933
Round 2,PDN17,NeuralMRF,0.66,0.954,-52.4,0.19,0.913
Round 2,PDN18,NeuralMRF,0.679,0.954,-98.5,0.072,0.919
Round 2,PDN19,NeuralMRF,0.66,0.956,-41,0.38,0.919
Round 2,PDN20,NeuralMRF,0.679,0.954,-75.5,0.063,0.915
Round 2,PDN21,NeuralMRF,0.642,0.959,-59.3,0.219,0.919
Round 2,PDN22,NeuralMRF,0.679,0.967,-89.1,0.179,0.963
Round 2,PDN23,NeuralMRF,0.679,0.953,-68.3,0.062,0.972
Round 2,PDN24,NeuralMRF,0.66,0.959,-58.4,0.204,0.932
Round 3,PDN25,NeuralMRF,0.66,0.966,-52.9,0.081,0.907
Round 3,PDN26,NeuralMRF,0.66,0.961,-54.1,0.161,0.93
Round 3,PDN27,NeuralMRF,0.66,0.962,-55.6,0.132,0.93
Round 3,PDN28,NeuralMRF,0.623,0.965,-82.2,0.141,0.94
Round 3,PDN29,NeuralMRF,0.66,0.97,-45,0.061,0.932
Round 3,PDN30,ProDESIGN-LE,0.698,0.967,-55.3,0.11,0.941
Round 3,PDN31,ProDESIGN-LE,0.66,0.955,-77.4,0.168,0.918
Round 3,PDN32,ProDESIGN-LE,0.717,0.968,-56.5,0.076,0.927
Round 3,PDN33,ProDESIGN-LE,0.698,0.958,-63.9,0.482,0.881
Round 3,PDN34,ProDESIGN-LE,0.792,0.953,-73.1,0.57,0.97
Round 3,PDN36,ProDESIGN-LE,0.83,0.967,-62.9,0.174,0.924
Round 3,PDN37,ProDESIGN-LE,0.868,0.966,-57.9,0.127,0.94
Round 3,PDN38,ProDESIGN-LE,0.925,0.965,-58.4,0.097,0.965
