Name,RMSD_VAR,Solubility,MMGBS,Method,IgG-Binding
PDN25,0.081386603,0.9326,-52.8973171,NeuralMRF,No
PDN26,0.16076507,0.8825,-54.1151762,NeuralMRF,Yes
PDN27,0.132374275,0.9298,-55.62603465,NeuralMRF,/
PDN28,0.141371253,0.9393,-82.2475964,NeuralMRF,/
PDN29,0.060728824,0.949,-44.9924871,NeuralMRF,No
PDN30,0.109534745,0.9414,-55.25901717,ProDESIGN-LE,/
PDN31,0.167662469,0.9184,-77.4145942,ProDESIGN-LE,Yes
PDN32,0.075514862,0.9269,-56.4524702,ProDESIGN-LE,Yes
PDN33,0.482491772,0.8806,-63.85422638,ProDESIGN-LE,/
PDN34,0.570089682,0.9704,-73.07810287,ProDESIGN-LE,/
PDN35,10.60516107,0.9727,-61.17088393,ProDESIGN-LE,/
PDN36,0.173744355,0.9237,-62.86104352,ProDESIGN-LE,/
PDN37,0.126798111,0.9397,-57.90688601,ProDESIGN-LE,/
PDN38,0.096597131,0.9648,-58.39826807,ProDESIGN-LE,/
