Name,Method,dentity,TM-score,MMGBSA,RMSD_var,Solubility
PDN11,ProDESIGN-LE,0.679,0.930,-65.7,0.098,0.938
PDN12,ProDESIGN-LE,0.679,0.939,-51.2,0.241,0.921
PDN13,ProDESIGN-LE,0.736,0.952,-83.3,0.074,0.871
PDN14,ProDESIGN-LE,0.774,0.963,-75.4,0.731,0.926
PDN15,ProDESIGN-LE,0.925,0.959,-66.0,0.100,0.945
PDN16,ProDESIGN-LE,0.962,0.960,-69.9,0.167,0.933
PDN17,NeuralMRF,0.660,0.954,-52.4,0.190,0.913
PDN18,NeuralMRF,0.679,0.954,-98.5,0.072,0.919
PDN19,NeuralMRF,0.660,0.956,-41.0,0.380,0.919
PDN20,NeuralMRF,0.679,0.954,-75.5,0.063,0.915
PDN21,NeuralMRF,0.642,0.959,-59.3,0.219,0.919
PDN22,NeuralMRF,0.679,0.967,-89.1,0.179,0.963
PDN23,NeuralMRF,0.679,0.953,-68.3,0.062,0.972
PDN24,NeuralMRF,0.660,0.959,-58.4,0.204,0.932
PDN25,NeuralMRF,0.660,0.966,-52.9,0.081,0.907
PDN26,NeuralMRF,0.660,0.961,-54.1,0.161,0.930
PDN27,NeuralMRF,0.660,0.962,-55.6,0.132,0.930
PDN28,NeuralMRF,0.623,0.965,-82.2,0.141,0.940
PDN29,NeuralMRF,0.660,0.970,-45.0,0.061,0.932
PDN30,ProDESIGN-LE,0.698,0.967,-55.3,0.110,0.941
PDN31,ProDESIGN-LE,0.660,0.955,-77.4,0.168,0.918
PDN32,ProDESIGN-LE,0.717,0.968,-56.5,0.076,0.927
PDN33,ProDESIGN-LE,0.698,0.958,-63.9,0.482,0.881
PDN34,ProDESIGN-LE,0.792,0.953,-73.1,0.570,0.970
PDN36,ProDESIGN-LE,0.830,0.967,-62.9,0.174,0.924
PDN37,ProDESIGN-LE,0.868,0.966,-57.9,0.127,0.940
PDN38,ProDESIGN-LE,0.925,0.965,-58.4,0.097,0.965
