name_source,RMSD_VAR,Solubility,MMGBS,Name
NeuralMRFaa,0.081386603,0.9071,-52.8973171,PDN25
NeuralMRFae,0.16076507,0.9299,-54.1151762,PDN26
NeuralMRFac,0.132374275,0.9298,-55.62603465,PDN27
NeuralMRFad,0.141371253,0.9393,-82.2475964,PDN28
NeuralMRFab,0.060728824,0.9316,-44.9924871,PDN29
LE-0,0.109534745,0.9414,-55.25901717,PDN30
LE-1,0.167662469,0.9184,-77.4145942,PDN31
LE-2,0.075514862,0.9269,-56.4524702,PDN32
LE-3,0.482491772,0.8806,-63.85422638,PDN33
LE-4,0.570089682,0.9704,-73.07810287,PDN34
LE-5,10.60516107,0.9727,-61.17088393,PDN35
LE-6,0.173744355,0.9237,-62.86104352,PDN36
LE-7,0.126798111,0.9397,-57.90688601,PDN37
LE-8,0.096597131,0.9648,-58.39826807,PDN38
