Name,RMSD_VAR,MMGBS,Solubility,Method,IgG-Binding
PDN17,0.09819676,-52.403492,0.9375,NeuralMRF,Yes
PDN18,0.241190502,-98.45099431,0.9212,NeuralMRF,/
PDN19,0.07407581,-41.048213,0.8709,NeuralMRF,Yes
PDN20,0.730851034,-75.53627792,0.9256,NeuralMRF,/
PDN21,0.100383674,-59.27432893,0.9447,NeuralMRF,/
PDN22,0.16652425,-89.08537027,0.9328,NeuralMRF,/
PDN23,0.189559585,-68.33835814,0.9129,NeuralMRF,/
PDN24,0.072043063,-58.41754938,0.9186,NeuralMRF,/
PDN11,0.380187911,-65.73149183,0.9193,ProDESIGN-LE,/
PDN12,0.063405417,-51.2105528,0.9154,ProDESIGN-LE,Yes
PDN13,0.219125482,-83.27999544,0.9187,ProDESIGN-LE,/
PDN14,0.178537403,-75.37262066,0.9633,ProDESIGN-LE,/
PDN15,0.062029093,-66.0382049,0.9719,ProDESIGN-LE,Yes
PDN16,0.203836713,-69.85531745,0.9318,ProDESIGN-LE,/
