Name,RMSD_VAR,MMGBS,Solubility,
PDN17,0.09819676,-52.403492,0.9375,
PDN18,0.241190502,-98.45099431,0.9212,
PDN19,0.07407581,-41.048213,0.8709,
PDN20,0.730851034,-75.53627792,0.9256,
PDN21,0.100383674,-59.27432893,0.9447,
PDN22,0.16652425,-89.08537027,0.9328,
PDN23,0.189559585,-68.33835814,0.9129,
PDN24,0.072043063,-58.41754938,0.9186,
PDN11,0.380187911,-65.73149183,0.9193,
PDN12,0.063405417,-51.2105528,0.9154,
PDN13,0.219125482,-83.27999544,0.9187,
PDN14,0.178537403,-75.37262066,0.9633,
PDN15,0.062029093,-66.0382049,0.9719,
PDN16,0.203836713,-69.85531745,0.9318,
